word,count
前兩天,4
酒精,108
不管,52
至少,128
願意,28
好事,53
次,8
不會,388
而決,4
定,12
要是,12
捐完,4
發現,59
還蠻,15
開,23
心,19
不求,4
回,32
報,20
結果,111
哪,101
一方,8
對方,4
奇怪,44
影響,8
推有,138
果汁,4
增加,40
大眾,8
現實,4
一點,105
沒關,4
係,8
必要,72
像,71
獵巫,4
逼,31
聖人,4
觀點,4
怎麼,345
不去,12
檢討,36
中心,11
變成,41
還好,135
贊助,8
呀,86
沒有,536
人出,4
來說,50
嘴,52
無能,8
人民,36
所,18
只能,133
加減,4
他,248
這麼,197
屯,44
老子,8
爽,16
捐血人,4
看得,4
太,114
賺幣,4
禮券,4
最,154
採購,55
地圖,40
允許,16
定位,12
出現,97
家中,16
附近,116
位置,20
預計,21
每,52
半小時,12
更新,24
一次,234
鄉民,91
點擊,4
▲,12
查詢,36
庫存,75
數量,80
相關,35
綠色,28
灰色,45
尚未,4
到貨,84
點,52
金錢,4
前先,4
白跑一趟,4
愈,8
快,122
資料,22
成功,11
關鍵,7
旁邊,24
開始,198
號碼牌,72
排,104
超長,8
出門,95
人擠,4
風險,40
更高,4
顯示,31
排推,8
囤,171
留給,164
這邊,102
分批,4
部分,36
下午,32
點發,4
早上,67
手上,23
存貨,24
先,91
擠,8
首日,8
阿推,16
分享,175
辛苦,55
背後,8
程式,12
人員,72
三天,35
出來,228
簡單,35
那些,164
囤貨,459
仔,68
推一人,12
一週,59
兩個,106
怎,12
正常人,8
沒事,36
九點,8
太閒,8
上班,111
辦法,88
雖然,112
沒想,4
領還,4
開學,24
產能,132
不足,28
已有,4
少,44
會領,4
不到,135
無論,4
一直,220
停留,4
在點,4
之亂,15
只是,166
延後,12
爆發,32
除非,31
敢,56
宣布,16
國,23
中小,8
高中,8
職,4
生病,33
咳嗽,28
之外,8
禮拜,73
一,234
炸鍋,8
每個,88
順便,12
比較,511
麻煩,35
病,40
防,98
他們,185
只好,12
自保,4
周遭,7
好幾個,28
玩,8
沒戴,39
打噴嚏,15
豪邁,4
就連,8
小鬼,4
電梯,8
盡情,4
咳,12
家長,4
羔子,4
擦屁股,4
有點,31
卡是,4
推超卡,4
推疾,8
管署,4
疾,8
管家,12
首,4
兩日,4
